title,list_price,bedrooms,bathrooms,sqft,full_link,full_address,postal_code,lat,long,type,Sold on,style,age,tax,sqft_min,sqft_max,sqft_avg
57 - 270 Timberbank Boulevard,699888,3.0,3.0,1400-1599 ,https://www.zolo.ca/toronto-real-estate/270-timberbank-boulevard/57,"270 Timberbank boulevard, Toronto ",M1W2M1,43.7969,-79.3075,Townhouse,2022-03-14,house,No Data,"$2,188 /yr",1400,1599,1499.5
24 Marlebon Road,999900,3.0,2.0,1500-2000 ,https://www.zolo.ca/toronto-real-estate/24-marlebon-road,"24 Marlebon road, Toronto ",M9V3W2,43.749,-79.6034,Detached,2022-03-14,detached,No Data,"$3,147 /yr",1500,2000,1750.0
34 Ferris Road,1199000,2.0,2.0,700-1100 ,https://www.zolo.ca/toronto-real-estate/34-ferris-road,"34 Ferris road, Toronto ",M4B1G3,43.7013,-79.3082,Detached,2022-03-14,detached,No Data,"$4,063 /yr",700,1100,900.0
Ph37 - 300 Mill Road,949000,3.0,3.0,1800-1999 ,https://www.zolo.ca/toronto-real-estate/300-mill-road/ph37,"300 Mill road, Toronto ",M9C4W7,43.6387,-79.5843,Condo,2022-03-14,house,No Data,"$3,080 /yr",1800,1999,1899.5
1611 - 31 Tippett Road,899000,2.0,2.0,800-899 ,https://www.zolo.ca/toronto-real-estate/31-tippett-road/1611,"31 Tippett road, Toronto M",3H 0C8,43.7335,-79.4461,Condo,2022-03-14,Apt,No Data,No Data,800,899,849.5
258 Patricia Avenue,2998000,4.0,7.0,3500-5000 ,https://www.zolo.ca/toronto-real-estate/258-patricia-avenue,"258 Patricia avenue, Toronto ",M2M1J8,43.7874,-79.4321,Detached,2022-03-14,house,No Data,"$13,162 /yr",3500,5000,4250.0
303 - 2150 Lawrence Avenue East,649000,2.0,2.0,800-899 ,https://www.zolo.ca/toronto-real-estate/2150-lawrence-avenue-east/303,"2150 Lawrence avenue, Toronto ",M1R3A7,43.7479,-79.2862,Condo,2022-03-14,Apt,No Data,"$1,861 /yr",800,899,849.5
608 - 33 Charles Street East,749000,1.0,1.0,600-699 ,https://www.zolo.ca/toronto-real-estate/33-charles-street-east/608,"33 Charles street, Toronto M",4Y 0A2,43.6686,-79.3845,Condo,2022-03-14,Apt,No Data,"$2,872 /yr",600,699,649.5
5 - 13 Eaton Park Lane,699000,2.0,2.0,1000-1199 ,https://www.zolo.ca/toronto-real-estate/13-eaton-park-lane/5,"13 Eaton Park Lane, Toronto ",M1W0A5,43.7943,-79.31,Townhouse,2022-03-14,house,No Data,"$2,194 /yr",1000,1199,1099.5
112 Beverley Street,2268000,6.0,6.0,2500-3000 ,https://www.zolo.ca/toronto-real-estate/112-beverley-street,"112 Beverley street, Toronto ",M5T1Y2,43.6534,-79.3939,Duplex,2022-03-14,house,No Data,"$7,357 /yr",2500,3000,2750.0
1808 - 170 Fort York Boulevard,599000,1.0,1.0,500-599 ,https://www.zolo.ca/toronto-real-estate/170-fort-york-boulevard/1808,"170 Fort York boulevard, Toronto ",M5V0E6,43.6394,-79.3997,Condo,2022-03-14,Apt,No Data,"$1,729 /yr",500,599,549.5
41 Claymore Drive,1400000,3.0,2.0,1100-1500 ,https://www.zolo.ca/toronto-real-estate/41-claymore-drive,"41 Claymore Drive, Toronto ",M8Z2S3,43.6365,-79.5139,Detached,2022-03-14,detached,No Data,"$5,591 /yr",1100,1500,1300.0
212 - 230 King Street East,689000,1.0,1.0,700-799 ,https://www.zolo.ca/toronto-real-estate/230-king-street-east/212,"230 King street, Toronto ",M5A1K5,43.6516,-79.3679,Condo,2022-03-14,Apt,No Data,"$2,444 /yr",700,799,749.5
54 Wycombe Road,1200000,3.0,3.0,1500-2000 ,https://www.zolo.ca/toronto-real-estate/54-wycombe-road,"54 Wycombe road, Toronto ",M3M2W7,43.7427,-79.4886,Att/Row/Twnhouse,2022-03-14,house,No Data,"$3,189 /yr",1500,2000,1750.0
Ph03 - 18 Stafford Street,699000,1.0,1.0,700-799 ,https://www.zolo.ca/toronto-real-estate/18-stafford-street/ph03,"18 Stafford street, Toronto ",M5V3W4,43.6414,-79.4107,Condo,2022-03-14,Apt,No Data,"$2,536 /yr",700,799,749.5
2808 - 159 Wellesley Street East,949000,3.0,2.0,800-899 ,https://www.zolo.ca/toronto-real-estate/159-wellesley-street-east/2808,"159 Wellesley street, Toronto ",M4Y0H5,43.6666,-79.375,Condo,2022-03-14,Apt,No Data,"$3,119 /yr",800,899,849.5
407 - 156 Portland Street,659000,1.0,1.0,600-699 ,https://www.zolo.ca/toronto-real-estate/156-portland-street/407,"156 Portland street, Toronto ",M5V0G1,43.6471,-79.4014,Condo,2022-03-14,Apt,No Data,"$2,469 /yr",600,699,649.5
10 Sawden Avenue,1099000,2.0,3.0,1500-2000 ,https://www.zolo.ca/toronto-real-estate/10-sawden-avenue,"10 Sawden avenue, Toronto ",M4L1V9,43.6683,-79.3304,Semi-Detached,2022-03-12,house,No Data,"$4,265 /yr",1500,2000,1750.0
3013 - 33 Harbour Square,499000,0.0,1.0,500-599 ,https://www.zolo.ca/toronto-real-estate/33-harbour-square/3013,"33 Harbour square, Toronto ",M5J2G2,43.6399,-79.3772,Condo,2022-03-13,Apt,No Data,"$1,833 /yr",500,599,549.5
808 - 19 Grand Truck Crescent,728000,1.0,1.0,600-699 ,https://www.zolo.ca/toronto-real-estate/19-grand-truck-crescent/808,"19 Grand Truck Crescent, Toronto ",M5J3A3,43.6417,-79.3827,Condo,2022-03-13,Apt,No Data,"$2,279 /yr",600,699,649.5
Ph109 - 260 Doris Avenue,880000,2.0,2.0,900-999 ,https://www.zolo.ca/toronto-real-estate/260-doris-avenue/ph109,"260 Doris avenue, Toronto ",M2N6X9,43.7722,-79.4124,Condo,2022-03-13,Apt,No Data,"$2,438 /yr",900,999,949.5
404 - 1 St Johns Road,599000,1.0,1.0,800-899 ,https://www.zolo.ca/toronto-real-estate/1-st-johns-road/404,"1 St Johns road, Toronto M",6P 1T7,43.6653,-79.4738,Condo,2022-03-13,Apt,No Data,"$2,352 /yr",800,899,849.5
491 Euclid Avenue,1749000,4.0,4.0,2500-3000 ,https://www.zolo.ca/toronto-real-estate/491-euclid-avenue,"491 Euclid avenue, Toronto ",M6G2T1,43.6582,-79.4121,Semi-Detached,2022-03-12,house,No Data,"$8,047 /yr",2500,3000,2750.0
107 - 45 Strangford Lane East,599000,3.0,2.0,1000-1199 ,https://www.zolo.ca/toronto-real-estate/45-strangford-lane-east/107,"45 Strangford Lane, Toronto ",M1L0E5,43.7099,-79.2943,Townhouse,2022-03-13,house,No Data,"$1,876 /yr",1000,1199,1099.5
3202 - 16 Bonnycastle Street,895000,1.0,2.0,700-799 ,https://www.zolo.ca/toronto-real-estate/16-bonnycastle-street/3202,"16 Bonnycastle street, Toronto ",M5A4M6,43.6461,-79.365,Condo,2022-03-12,Apt,No Data,"$3,483 /yr",700,799,749.5
#411 - 20 Richardson Street West,448800,0.0,2.0,0-499 ,https://www.zolo.ca/toronto-real-estate/20-richardson-street-west,"20 Richardson street, Toronto ",M5A4J9,43.6455,-79.3687,Condo,2022-03-13,Apt,No Data,"$1,768 /yr",0,499,249.5
3109 - 197 Yonge Street,998000,3.0,2.0,800-899 ,https://www.zolo.ca/toronto-real-estate/197-yonge-street/3109,"197 Yonge street, Toronto ",M5B1M4,43.6534,-79.3792,Condo,2022-03-13,Apt,No Data,"$3,599 /yr",800,899,849.5
1007 - 88 Alton Towers Circle,580000,1.0,1.0,700-799 ,https://www.zolo.ca/toronto-real-estate/88-alton-towers-circle/1007,"88 Alton Towers Circle, Toronto ",M1V5C5,43.8248,-79.2745,Condo,2022-03-13,Apt,No Data,"$1,326 /yr",700,799,749.5
405 - 18 Harbour Street,949000,2.0,2.0,800-899 ,https://www.zolo.ca/toronto-real-estate/18-harbour-street/405,"18 Harbour street, Toronto ",M5J2Z6,43.6428,-79.377,Condo,2022-03-13,Apt,No Data,"$3,139 /yr",800,899,849.5
202 - 4064 Lawrence Avenue East,369000,4.0,3.0,1800-1999 ,https://www.zolo.ca/toronto-real-estate/4064-lawrence-avenue-east/202,"4064 Lawrence avenue, Toronto ",M1E4V6,43.7669,-79.1976,Townhouse,2022-03-13,house,No Data,"$1,020 /yr",1800,1999,1899.5
303 - 50 Forest Manor Road,699999,1.0,2.0,500-599 ,https://www.zolo.ca/toronto-real-estate/50-forest-manor-road/303,"50 Forest Manor road, Toronto M",2J 0E3,43.7727,-79.3454,Condo,2022-03-13,Apt,No Data,"$2,041 /yr",500,599,549.5
521 Roxton Road,1649000,4.0,4.0,1500-2000 ,https://www.zolo.ca/toronto-real-estate/521-roxton-road,"521 Roxton road, Toronto ",M6G3R5,43.6613,-79.4238,Duplex,2022-03-13,house,No Data,"$5,957 /yr",1500,2000,1750.0
4 Finchley Road,2495000,4.0,3.0,3000-3500 ,https://www.zolo.ca/toronto-real-estate/4-finchley-road,"4 Finchley road, Toronto ",M9A2X3,43.6592,-79.5267,Detached,2022-03-12,house,No Data,"$7,270 /yr",3000,3500,3250.0
61 Lynvalley Crescent,1088000,3.0,2.0,1100-1500 ,https://www.zolo.ca/toronto-real-estate/61-lynvalley-crescent,"61 Lynvalley Crescent, Toronto ",M1R2V1,43.7502,-79.3084,Detached,2022-03-12,detached,No Data,"$4,008 /yr",1100,1500,1300.0
112 - 6 Eva Road,529000,1.0,1.0,500-599 ,https://www.zolo.ca/toronto-real-estate/6-eva-road/112,"6 Eva road, Toronto M",9C 0B1,43.6403,-79.5625,Condo,2022-03-13,Apt,No Data,"$1,600 /yr",500,599,549.5
Th30 - 19 Valhalla Inn Road,899000,3.0,3.0,1200-1399 ,https://www.zolo.ca/toronto-real-estate/19-valhalla-inn-road/th30,"19 Valhalla Inn road, Toronto ",M9B0B3,43.6403,-79.5587,Townhouse,2022-03-12,house,No Data,"$3,106 /yr",1200,1399,1299.5
49 Braecrest Avenue,3499999,4.0,5.0,3500-5000 ,https://www.zolo.ca/toronto-real-estate/49-braecrest-avenue,"49 Braecrest avenue, Toronto ",M9P1Z6,43.6953,-79.5314,Detached,2022-03-12,house,No Data,"$3,623 /yr",3500,5000,4250.0
1118 - 1 Massey Square,429000,1.0,1.0,700-799 ,https://www.zolo.ca/toronto-real-estate/1-massey-square/1118,"1 Massey square, Toronto ",M4C5L4,43.6964,-79.2942,Condo,2022-03-12,Apt,No Data,$733 /yr,700,799,749.5
401 - 223 St Clair Avenue West,675000,1.0,1.0,500-599 ,https://www.zolo.ca/toronto-real-estate/223-st-clair-avenue-west/401,"223 St Clair avenue, Toronto ",M4V0A5,43.6859,-79.4045,Condo,2022-03-12,Apt,No Data,"$1,925 /yr",500,599,549.5
221 Johnston Avenue,2999000,4.0,5.0,3500-5000 ,https://www.zolo.ca/toronto-real-estate/221-johnston-avenue,"221 Johnston avenue, Toronto ",M2N1H4,43.7565,-79.4208,Detached,2022-03-12,house,No Data,"$11,035 /yr",3500,5000,4250.0
1007 - 225 Merton Street,1325000,2.0,2.0,1200-1399 ,https://www.zolo.ca/toronto-real-estate/225-merton-street/1007,"225 Merton street, Toronto ",M4S3H1,43.6972,-79.3897,Condo,2022-03-12,Apt,No Data,"$4,283 /yr",1200,1399,1299.5
12 - 645 Davenport Road,1099000,2.0,2.0,1200-1399 ,https://www.zolo.ca/toronto-real-estate/645-davenport-road/12,"645 Davenport road, Toronto ",M5R1L3,43.6767,-79.4139,Townhouse,2022-03-12,house,No Data,"$3,593 /yr",1200,1399,1299.5
1815 - 101 Erskine Avenue,1059000,2.0,2.0,800-899 ,https://www.zolo.ca/toronto-real-estate/101-erskine-avenue/1815,"101 Erskine avenue, Toronto ",M4P1Y5,43.7115,-79.3953,Condo,2022-03-12,Apt,No Data,"$3,727 /yr",800,899,849.5
404 - 2550 Lawrence Avenue East,599900,2.0,2.0,900-999 ,https://www.zolo.ca/toronto-real-estate/2550-lawrence-avenue-east/404,"2550 Lawrence avenue, Toronto ",M1P2R7,43.7517,-79.2664,Condo,2022-03-12,Apt,No Data,"$1,314 /yr",900,999,949.5
52 Fifteenth Street,899990,3.0,1.0,1500-2000 ,https://www.zolo.ca/toronto-real-estate/52-fifteenth-street,"52 Fifteenth street, Toronto ",M8V3J4,43.6008,-79.515,Detached,2022-03-12,detached,No Data,"$3,623 /yr",1500,2000,1750.0
1612 - 88 Alton Towers Circle,578888,1.0,1.0,700-799 ,https://www.zolo.ca/toronto-real-estate/88-alton-towers-circle/1612,"88 Alton Towers Circle, Toronto ",M1V5C5,43.8248,-79.2745,Condo,2022-03-12,Apt,No Data,"$1,375 /yr",700,799,749.5
813 - 20 Richardson Street,579000,1.0,1.0,0-499 ,https://www.zolo.ca/toronto-real-estate/20-richardson-street/813,"20 Richardson street, Toronto ",M5A0S6,43.6455,-79.3687,Condo,2022-03-12,Apt,No Data,"$1,650 /yr",0,499,249.5
401 - 235 Sherway Gardens Road,549900,1.0,1.0,700-799 ,https://www.zolo.ca/toronto-real-estate/235-sherway-gardens-road/401,"235 Sherway Gardens road, Toronto ",M9C0A2,43.6093,-79.559,Condo,2022-03-12,Apt,No Data,"$1,900 /yr",700,799,749.5
275 - 165 Cherokee Boulevard,649000,5.0,2.0,1400-1599 ,https://www.zolo.ca/toronto-real-estate/165-cherokee-boulevard/275,"165 Cherokee boulevard, Toronto ",M2J4T7,43.7925,-79.3359,Townhouse,2022-03-12,house,No Data,"$1,865 /yr",1400,1599,1499.5
2910 - 161 Roehampton Avenue,1050000,2.0,2.0,700-799 ,https://www.zolo.ca/toronto-real-estate/161-roehampton-avenue/2910,"161 Roehampton avenue, Toronto ",M4P1P9,43.7088,-79.3938,Condo,2022-03-12,Apt,No Data,"$3,250 /yr",700,799,749.5
#717 - 3655 Kingston Road,565000,1.0,1.0,500-599 ,https://www.zolo.ca/toronto-real-estate/3655-kingston-road/717,"3655 Kingston road, Toronto M",1M 0E2,43.7429,-79.2121,Condo,2022-03-11,Apt,No Data,No Data,500,599,549.5
1110 - 18 Spring Garden Avenue,799900,2.0,2.0,1000-1199 ,https://www.zolo.ca/toronto-real-estate/18-spring-garden-avenue/1110,"18 Spring Garden avenue, Toronto M",2N7M2M,43.7649,-79.4106,Condo,2022-03-12,Apt,No Data,"$3,214 /yr",1000,1199,1099.5
1807 - 100 Harbour Street,659000,1.0,1.0,0-499 ,https://www.zolo.ca/toronto-real-estate/100-harbour-street/1807,"100 Harbour street, Toronto ",M5J0B5,43.6418,-79.3798,Condo,2022-03-12,Apt,No Data,"$1,979 /yr",0,499,249.5
203 - 2350 Bridletowne Circle,699000,2.0,2.0,1800-1999 ,https://www.zolo.ca/toronto-real-estate/2350-bridletowne-circle/203,"2350 Bridletowne Circle, Toronto ",M1W3E6,43.8007,-79.3172,Condo,2022-03-12,Apt,No Data,"$2,554 /yr",1800,1999,1899.5
502 - 88 Charles Street East,529000,0.0,1.0,0-499 ,https://www.zolo.ca/toronto-real-estate/88-charles-street-east/502,"88 Charles street, Toronto ",M4Y2W7,43.67,-79.3815,Condo,2022-03-12,Apt,No Data,"$1,479 /yr",0,499,249.5
1404 - 30 Thunder Grove,639800,2.0,2.0,1200-1399 ,https://www.zolo.ca/toronto-real-estate/30-thunder-grove/1404,"30 Thunder Grove, Toronto M",1V 4A3,43.8096,-79.2663,Condo,2022-03-12,Apt,No Data,"$1,674 /yr",1200,1399,1299.5
Th5 - 19 Anndale Drive,1399000,3.0,3.0,2000-2249 ,https://www.zolo.ca/toronto-real-estate/19-anndale-drive/th5,"19 Anndale Drive, Toronto ",M2N0H2,43.7603,-79.407,Townhouse,2022-03-12,house,No Data,"$6,104 /yr",2000,2249,2124.5
113 Alford Crescent,849000,3.0,3.0,1500-2000 ,https://www.zolo.ca/toronto-real-estate/113-alford-crescent,"113 Alford Crescent, Toronto ",M1B4G3,43.8089,-79.2101,Detached,2022-03-12,house,No Data,"$2,230 /yr",1500,2000,1750.0
2917 - 700 Humberwood Boulevard,649999,2.0,2.0,900-999 ,https://www.zolo.ca/toronto-real-estate/700-humberwood-boulevard/2917,"700 Humberwood boulevard, Toronto ",M9W7J4,43.7247,-79.6167,Condo,2022-03-12,Apt,No Data,"$1,816 /yr",900,999,949.5
3802 - 16 Yonge Street,1488000,2.0,2.0,1200-1399 ,https://www.zolo.ca/toronto-real-estate/16-yonge-street/3802,"16 Yonge street, Toronto ",M5E2A1,43.6436,-79.376,Condo,2022-03-11,Apt,No Data,"$4,509 /yr",1200,1399,1299.5
Ph07 - 115 Mcmahon Drive,499000,1.0,1.0,500-599 ,https://www.zolo.ca/toronto-real-estate/115-mcmahon-drive/ph07,"115 Mcmahon Drive, Toronto ",M2K2X9,43.7669,-79.3711,Condo,2022-03-12,Apt,No Data,"$1,851 /yr",500,599,549.5
1004 - 60 Colborne Street,700000,1.0,2.0,600-699 ,https://www.zolo.ca/toronto-real-estate/60-colborne-street/1004,"60 Colborne street, Toronto ",M5E0B7,43.6493,-79.3746,Condo,2022-03-12,detached,No Data,"$2,858 /yr",600,699,649.5
9 Sorauren Avenue,1449000,3.0,2.0,2000-2500 ,https://www.zolo.ca/toronto-real-estate/9-sorauren-avenue,"9 Sorauren avenue, Toronto ",M6R2C6,43.6403,-79.4409,Semi-Detached,2022-03-12,house,No Data,"$5,695 /yr",2000,2500,2250.0
107 - 9 Michael Power Place,599900,1.0,2.0,700-799 ,https://www.zolo.ca/toronto-real-estate/9-michael-power-place/107,"9 Michael Power place, Toronto M",9A 0A5,43.6443,-79.5299,Condo,2022-03-11,Apt,No Data,"$1,656 /yr",700,799,749.5
34 - 15 Guildwood Parkway,749900,3.0,3.0,1200-1399 ,https://www.zolo.ca/toronto-real-estate/15-guildwood-parkway/34,"15 Guildwood parkway, Toronto ",M1E4Y8,43.7489,-79.2058,Townhouse,2022-03-11,house,No Data,"$2,083 /yr",1200,1399,1299.5
319 - 525 Wilson Avenue,599888,1.0,1.0,600-699 ,https://www.zolo.ca/toronto-real-estate/525-wilson-avenue/319,"525 Wilson avenue, Toronto ",M3H1V1,43.7345,-79.4464,Condo,2022-03-11,Apt,No Data,"$1,802 /yr",600,699,649.5
1011 - 318 King Street East,799999,1.0,1.0,700-799 ,https://www.zolo.ca/toronto-real-estate/318-king-street-east/1011,"318 King street, Toronto ",M5A1K6,43.6526,-79.3637,Condo,2022-03-11,Apt,No Data,"$2,813 /yr",700,799,749.5
708 - 1 Four Winds Drive,599999,3.0,2.0,1400-1599 ,https://www.zolo.ca/toronto-real-estate/1-four-winds-drive/708,"1 Four Winds Drive, Toronto M",3J 2T1,43.7646,-79.4919,Condo,2022-03-11,Apt,No Data,"$1,452 /yr",1400,1599,1499.5
1826 - 80 Harrison Garden Boulevard,869999,2.0,2.0,1000-1199 ,https://www.zolo.ca/toronto-real-estate/80-harrison-garden-boulevard/1826,"80 Harrison Garden boulevard, Toronto ",M2N7E3,43.7563,-79.4058,Condo,2022-03-11,Apt,No Data,"$3,196 /yr",1000,1199,1099.5
416 - 20 Minowan Miikan Lane,748000,2.0,2.0,700-799 ,https://www.zolo.ca/toronto-real-estate/20-minowan-miikan-lane/416,"20 Minowan Miikan Lane, Toronto ",M6J0E5,43.6429,-79.4282,Condo,2022-03-11,Apt,No Data,"$2,395 /yr",700,799,749.5
55 - 20 Carnation Avenue,799000,2.0,3.0,1000-1199 ,https://www.zolo.ca/toronto-real-estate/20-carnation-avenue/55,"20 Carnation avenue, Toronto ",M8V0B8,43.6012,-79.5248,Townhouse,2022-03-11,house,No Data,"$2,762 /yr",1000,1199,1099.5
302 - 10 Brian Peck Crescent,999000,3.0,2.0,1200-1399 ,https://www.zolo.ca/toronto-real-estate/10-brian-peck-crescent/302,"10 Brian Peck Crescent, Toronto ",M4G4K4,43.7141,-79.3548,Townhouse,2022-03-11,Apt,No Data,"$3,428 /yr",1200,1399,1299.5
1717 - 121 Mcmahon Drive,799000,2.0,2.0,1000-1199 ,https://www.zolo.ca/toronto-real-estate/121-mcmahon-drive/1717,"121 Mcmahon Drive, Toronto ",M2K0C1,43.7675,-79.3712,Condo,2022-03-11,Apt,No Data,"$2,603 /yr",1000,1199,1099.5
42 Victoria Park Avenue,1050000,2.0,2.0,1100-1500 ,https://www.zolo.ca/toronto-real-estate/42-victoria-park-avenue,"42 Victoria Park avenue, Toronto M",4E 3R9,43.676,-79.2812,Semi-Detached,2022-03-11,house,No Data,"$4,839 /yr",1100,1500,1300.0
30 - 3409 St Clair Avenue East,799000,4.0,4.0,1800-1999 ,https://www.zolo.ca/toronto-real-estate/3409-st-clair-avenue-east/30,"3409 St Clair avenue, Toronto ",M1L1W3,43.7134,-79.2745,Townhouse,2022-03-11,house,No Data,"$2,680 /yr",1800,1999,1899.5
3306 - 185 Roehampton Avenue,599900,1.0,1.0,500-599 ,https://www.zolo.ca/toronto-real-estate/185-roehampton-avenue/3306,"185 Roehampton avenue, Toronto ",M4P0C6,43.7089,-79.3929,Condo,2022-03-11,Apt,No Data,"$2,456 /yr",500,599,549.5
1002 - 330 Richmond Street West,624999,1.0,1.0,500-599 ,https://www.zolo.ca/toronto-real-estate/330-richmond-street-west/1002,"330 Richmond street, Toronto M",5V 0M4,43.649,-79.3926,Condo,2022-03-11,Apt,No Data,No Data,500,599,549.5
1201 - 438 King Street West,598800,1.0,1.0,500-599 ,https://www.zolo.ca/toronto-real-estate/438-king-street-west/1201,"438 King street, Toronto ",M5V3T9,43.6458,-79.3947,Condo,2022-03-11,Apt,No Data,"$2,218 /yr",500,599,549.5
1402 - 1402 20 Tubman Avenue,639000,1.0,1.0,600-699 ,https://www.zolo.ca/toronto-real-estate/1402-20-tubman-avenue,"20 Tubman avenue, Toronto ",L5A0M8,43.6606,-79.3593,Condo,2022-03-11,Apt,No Data,"$1,882 /yr",600,699,649.5
1605 - 3233 Eglinton Avenue East,499000,2.0,2.0,1000-1199 ,https://www.zolo.ca/toronto-real-estate/3233-eglinton-avenue-east/1605,"3233 Eglinton avenue, Toronto ",M1J3N6,43.744,-79.2127,Condo,2022-03-11,Apt,No Data,"$1,245 /yr",1000,1199,1099.5
904 - 4727 Sheppard Avenue East,599800,2.0,2.0,1200-1399 ,https://www.zolo.ca/toronto-real-estate/4727-sheppard-avenue-east/904,"4727 Sheppard avenue, Toronto ",M1S5B3,43.7897,-79.2536,Condo,2022-03-11,Apt,No Data,"$1,700 /yr",1200,1399,1299.5
12 Sweet Pea Path,899000,3.0,3.0,1400-1599 ,https://www.zolo.ca/toronto-real-estate/12-sweet-pea-path,"12 Sweet Pea path, Toronto ",M9P3S3,43.7002,-79.5471,Townhouse,2022-03-11,house,No Data,"$2,578 /yr",1400,1599,1499.5
30 - 150 Long Branch Avenue,599000,1.0,1.0,600-699 ,https://www.zolo.ca/toronto-real-estate/150-long-branch-avenue/30,"150 Long Branch avenue, Toronto ",M8W0B1,43.5964,-79.5352,Townhouse,2022-03-11,house,No Data,"$1,523 /yr",600,699,649.5
138 Winston Park Boulevard,2148000,4.0,4.0,3000-3500 ,https://www.zolo.ca/toronto-real-estate/138-winston-park-boulevard,"138 Winston Park boulevard, Toronto ",M3K1C5,43.7282,-79.4715,Detached,2022-03-11,house,No Data,"$7,173 /yr",3000,3500,3250.0
Ph1 - 1331 Queen Street East,1599000,3.0,2.0,1200-1399 ,https://www.zolo.ca/toronto-real-estate/1331-queen-street-east/ph1,"1331 Queen street, Toronto M",4L 0B1,43.664,-79.3268,Condo,2022-03-11,Apt,No Data,"$5,575 /yr",1200,1399,1299.5
2302 - 225 Sackville Street,439000,0.0,1.0,0-499 ,https://www.zolo.ca/toronto-real-estate/225-sackville-street/2302,"225 Sackville street, Toronto ",M5A3H1,43.6599,-79.3625,Condo,2022-03-11,Apt,No Data,"$1,350 /yr",0,499,249.5
2010 - 2627 Mccowan Road,599000,1.0,1.0,600-699 ,https://www.zolo.ca/toronto-real-estate/2627-mccowan-road/2010,"2627 Mccowan road, Toronto ",M1S5T1,43.8071,-79.2655,Condo,2022-03-11,Apt,No Data,"$1,515 /yr",600,699,649.5
2107 - 2269 Lakeshore Blvd West Boulevard West,1199000,2.0,2.0,1400-1599 ,https://www.zolo.ca/toronto-real-estate/2269-lakeshore-blvd-west-boulevard-west/2107,"2269 Lakeshore boulevard, Toronto ",M8V3X6,43.6196,-79.4843,Condo,2022-03-11,Apt,No Data,"$3,489 /yr",1400,1599,1499.5
5 Snapdragon Drive,799000,3.0,3.0,1500-2000 ,https://www.zolo.ca/toronto-real-estate/5-snapdragon-drive,"5 Snapdragon Drive, Toronto ",M2J4X5,43.7757,-79.3336,Semi-Detached,2022-03-11,house,No Data,"$3,489 /yr",1500,2000,1750.0
3505 - 100 Harbour Street,699000,1.0,1.0,500-599 ,https://www.zolo.ca/toronto-real-estate/100-harbour-street/3505,"100 Harbour street, Toronto ",M5J2T5,43.6418,-79.3798,Condo,2022-03-11,Apt,No Data,"$2,401 /yr",500,599,549.5
2207 - 5791 Yonge Street,639900,2.0,1.0,700-799 ,https://www.zolo.ca/toronto-real-estate/5791-yonge-street/2207,"5791 Yonge street, Toronto ",M2M0A8,43.7845,-79.416,Condo,2022-03-11,Apt,No Data,"$2,328 /yr",700,799,749.5
4 - 45 Hero Park Place,699000,3.0,3.0,1200-1399 ,https://www.zolo.ca/toronto-real-estate/45-hero-park-place/2,"45 Heron Park place, Toronto M",1E 0B8,43.7679,-79.1767,Townhouse,2022-03-11,house,No Data,"$2,438 /yr",1200,1399,1299.5
816 - 8 Mondeo Drive,679900,2.0,2.0,900-999 ,https://www.zolo.ca/toronto-real-estate/8-mondeo-drive/816,"8 Mondeo Drive, Toronto ",M1P5C7,43.7644,-79.2886,Condo,2022-03-11,Apt,No Data,"$1,955 /yr",900,999,949.5
902 - 8 Mckee Avenue,998000,3.0,2.0,1400-1599 ,https://www.zolo.ca/toronto-real-estate/8-mckee-avenue/902,"8 Mckee avenue, Toronto ",M2N7E5,43.7734,-79.4129,Condo,2022-03-11,Apt,No Data,"$3,648 /yr",1400,1599,1499.5
25 Bournemouth Road,1898000,4.0,3.0,1500-2000 ,https://www.zolo.ca/toronto-real-estate/25-bournemouth-road,"25 Bournemouth road, Toronto ",M9A2C4,43.6768,-79.5453,Detached,2022-03-11,detached,No Data,"$6,947 /yr",1500,2000,1750.0
3402 - 33 Bay Street,649000,1.0,1.0,500-599 ,https://www.zolo.ca/toronto-real-estate/33-bay-street/3402,"33 Bay street, Toronto ",M5J2Z3,43.6428,-79.377,Condo,2022-03-11,Apt,No Data,"$2,334 /yr",500,599,549.5
207A - 50 Ann Oreilly Road,549000,1.0,1.0,500-599 ,https://www.zolo.ca/toronto-real-estate/50-ann-oreilly-road/207a,"50 Ann O'reilly road, Toronto M",2J 0C9,43.7746,-79.3304,Condo,2022-03-11,Apt,No Data,"$1,680 /yr",500,599,549.5
1103 - 20 Bloorview Place,799000,2.0,2.0,900-999 ,https://www.zolo.ca/toronto-real-estate/20-bloorview-place/1103,"20 Bloorview place, Toronto ",M2J0A6,43.7744,-79.3588,Condo,2022-03-11,Apt,No Data,"$3,055 /yr",900,999,949.5
96 - 23 Eldora Avenue,750000,1.0,1.0,500-599 ,https://www.zolo.ca/toronto-real-estate/23-eldora-avenue/96,"23 Eldora avenue, Toronto ",M2M0B5,43.7804,-79.4197,Townhouse,2022-03-11,Apt,No Data,"$2,542 /yr",500,599,549.5
2802 - 181 Wynford Drive,699900,2.0,2.0,800-899 ,https://www.zolo.ca/toronto-real-estate/181-wynford-drive/2802,"181 Wynford Drive, Toronto ",M3C0C6,43.725,-79.3286,Condo,2022-03-11,Apt,No Data,"$2,505 /yr",800,899,849.5
