title,list_price,bedrooms,bathrooms,sqft,full_link,full_address,postal_code,lat,long,type,Sold on,style,age,tax,sqft_min,sqft_max,sqft_avg
107 - 225 Sherway Gardens Road,579900,1.0,1.0,600-699 ,https://www.zolo.ca/toronto-real-estate/225-sherway-gardens-road/107,"225 Sherway Gardens road, Toronto ",M9C0A3,43.6091,-79.5585,Condo,2021-12-29,Apt,No Data,"$1,717 /yr",600,699,649.5
27 Peterdale Road,1139000,3.0,2.0,1100-1500 ,https://www.zolo.ca/toronto-real-estate/27-peterdale-road,"27 Peterdale road, Toronto ",M3L1T8,43.7372,-79.5065,Semi-Detached,2021-12-29,house,No Data,"$2,994 /yr",1100,1500,1300.0
Ph08 - 2000 Islington Avenue,829000,2.0,2.0,2000-2249 ,https://www.zolo.ca/toronto-real-estate/2000-islington-avenue/ph-08,"2000 Islington avenue, Toronto ",M9P3S7,43.6982,-79.5479,Condo,2021-12-29,Apt,No Data,"$2,994 /yr",2000,2249,2124.5
# 2102 - 100 Mornelle Court,558000,4.0,3.0,1400-1599 ,https://www.zolo.ca/toronto-real-estate/100-mornelle-court/-2102,"100 Mornelle court, Toronto ",M1E4X2,43.7873,-79.195,Townhouse,2021-12-29,house,No Data,"$1,141 /yr",1400,1599,1499.5
1009 - 40 Bay Mills Boulevard,480000,1.0,1.0,800-899 ,https://www.zolo.ca/toronto-real-estate/40-bay-mills-boulevard/1009,"40 Bay Mills boulevard, Toronto ",M1T3P5,43.7806,-79.3053,Condo,2021-12-29,Apt,No Data,"$1,008 /yr",800,899,849.5
413 - 330 Mccowan Rd Road,559900,2.0,2.0,1000-1199 ,https://www.zolo.ca/toronto-real-estate/330-mccowan-rd-road/413,"330 Mccowan road, Toronto ",M1J3N3,43.7376,-79.2385,Condo,2021-12-29,Apt,No Data,"$1,277 /yr",1000,1199,1099.5
4 - 11 Four Winds Drive,649000,4.0,3.0,1600-1799 ,https://www.zolo.ca/toronto-real-estate/11-four-winds-drive/4,"11 Four Winds Drive, Toronto ",M3J1K7,43.7642,-79.4944,Townhouse,2021-12-29,house,No Data,"$2,010 /yr",1600,1799,1699.5
N1010 - 120 Bayview Avenue,575000,1.0,1.0,500-599 ,https://www.zolo.ca/toronto-real-estate/120-bayview-avenue/10,"120 Bayview avenue, Toronto M",5A 0G4,43.6543,-79.3541,Condo,2021-12-29,Apt,No Data,"$1,772 /yr",500,599,549.5
1102 - 10 Queens Quay West,525000,1.0,1.0,0-499 ,https://www.zolo.ca/toronto-real-estate/10-queens-quay-west/1102,"10 Queens quay, Toronto ",M5J2R9,43.6419,-79.3757,Condo,2021-12-29,Apt,No Data,"$1,393 /yr",0,499,249.5
129 - 4005 Don Mills Road,699888,2.0,2.0,1200-1399 ,https://www.zolo.ca/toronto-real-estate/4005-don-mills-road/129,"4005 Don Mills road, Toronto ",M2H3J9,43.811,-79.3597,Townhouse,2021-12-29,house,No Data,"$1,890 /yr",1200,1399,1299.5
2106 - 1555 Finch Avenue East,695000,2.0,2.0,1200-1399 ,https://www.zolo.ca/toronto-real-estate/1555-finch-avenue-east/2106,"1555 Finch avenue, Toronto ",M2J4X9,43.7926,-79.3521,Condo,2021-12-30,Apt,No Data,"$2,004 /yr",1200,1399,1299.5
430 Hounslow Avenue,2575000,4.0,5.0,3500-5000 ,https://www.zolo.ca/toronto-real-estate/430-hounslow-avenue,"430 Hounslow avenue, Toronto M",2R 1H6,43.7712,-79.4352,Detached,2021-12-29,house,No Data,"$9,153 /yr",3500,5000,4250.0
20 Herzberg Gardens,1299000,3.0,4.0,2000-2500 ,https://www.zolo.ca/toronto-real-estate/20-herzberg-gardens,"20 Herzberg Gardens, Toronto ",M3J3P4,43.7665,-79.4977,Detached,2021-12-29,house,No Data,"$4,478 /yr",2000,2500,2250.0
2702 - 8 The Esplanade Avenue,1045000,2.0,2.0,1000-1199 ,https://www.zolo.ca/toronto-real-estate/8-the-esplanade-avenue/2702,"8 The Esplanade avenue, Toronto M",5E 0A6,43.6465,-79.3761,Condo,2021-12-29,Apt,No Data,"$5,022 /yr",1000,1199,1099.5
107 - 1700 Eglinton Avenue East,485000,1.0,1.0,500-599 ,https://www.zolo.ca/toronto-real-estate/1700-eglinton-avenue-east/107,"1700 Eglinton avenue, Toronto ",M4A2X4,43.7263,-79.3128,Condo,2021-12-29,Apt,No Data,"$1,155 /yr",500,599,549.5
1009 - 75 Emmett Avenue,755900,3.0,2.0,1600-1799 ,https://www.zolo.ca/toronto-real-estate/75-emmett-avenue/1009,"75 Emmett avenue, Toronto M",6M 5A7,43.6872,-79.5048,Condo,2021-12-29,Apt,No Data,"$1,638 /yr",1600,1799,1699.5
608 - 2285 Lake Shore Boulevard West,1024990,2.0,2.0,1200-1399 ,https://www.zolo.ca/toronto-real-estate/2285-lake-shore-boulevard-west/608,"2285 Lake Shore boulevard, Toronto ",M8V3X9,43.6189,-79.4854,Condo,2021-12-29,Apt,No Data,"$3,330 /yr",1200,1399,1299.5
24 Poplar Road,1599000,7.0,5.0,3500-5000 ,https://www.zolo.ca/toronto-real-estate/24-poplar-road,"24 Poplar road, Toronto ",M1E1Z1,43.7525,-79.1859,Detached,2021-12-29,house,No Data,"$4,860 /yr",3500,5000,4250.0
502 - 2212 Lake Shore Boulevard West,599000,1.0,1.0,500-599 ,https://www.zolo.ca/toronto-real-estate/2212-lake-shore-boulevard-west/502,"2212 Lake Shore boulevard, Toronto M",8V 0C2,43.6225,-79.4824,Condo,2021-12-29,Apt,No Data,"$1,705 /yr",500,599,549.5
261 Humberside Avenue,1898000,6.0,4.0,2000-2500 ,https://www.zolo.ca/toronto-real-estate/261-humberside-avenue,"261 Humberside avenue, Toronto ",M6P1L2,43.6605,-79.4673,Detached,2021-12-29,house,No Data,"$6,820 /yr",2000,2500,2250.0
1711 - 75 Queens Wharf Road,649888,1.0,1.0,500-599 ,https://www.zolo.ca/toronto-real-estate/75-queens-wharf-road/1711,"75 Queens Wharf road, Toronto ",M5V0J8,43.6386,-79.3981,Condo,2021-12-29,Apt,No Data,"$2,800 /yr",500,599,549.5
